"x" "y" "site"
"1" 0.547148391956763 0.458486895306513 "3"
"2" 0.537003402242286 0.470324437147029 "3"
"3" 0.526021349504749 0.480992887903188 "3"
"4" 0.514246454594478 0.490449289489159 "3"
"5" 0.501726130857401 0.498655564313333 "3"
"6" 0.488510793218238 0.505578668603346 "3"
"7" 0.47465365517739 0.511190725461689 "3"
"8" 0.460210514538956 0.515469137116134 "3"
"9" 0.445239528732673 0.518396675912987 "3"
"10" 0.429800980634464 0.51996155368677 "3"
"11" 0.413957035828583 0.520157469227002 "3"
"12" 0.397771492288741 0.51898363365095 "3"
"13" 0.381309523486186 0.516444773580179 "3"
"14" 0.364637415959137 0.512551112108121 "3"
"15" 0.347822302400289 0.50731832763528 "3"
"16" 0.330931891337154 0.500767490737849 "3"
"17" 0.314034194493718 0.492924979323937 "3"
"18" 0.297197252931231 0.483822372419042 "3"
"19" 0.280488863070874 0.473496323008463 "3"
"20" 0.263976303701491 0.46198841044866 "3"
"21" 0.247726065071659 0.449344973041867 "3"
"22" 0.231803581156918 0.435616921448096 "3"
"23" 0.216272966180252 0.420859533685888 "3"
"24" 0.201196756446739 0.405132232547231 "3"
"25" 0.18663565853192 0.388498346322959 "3"
"26" 0.172648304837851 0.371024853802069 "3"
"27" 0.159291017501108 0.352782114571784 "3"
"28" 0.146617581603424 0.333843585704322 "3"
"29" 0.134679028598149 0.314285525971197 "3"
"30" 0.123523430824598 0.29418668877606 "3"
"31" 0.113195707937706 0.273628005042534 "3"
"32" 0.103737446032433 0.252692257333957 "3"
"33" 0.0951867301912373 0.231463746517209 "3"
"34" 0.087577991128889 0.210027952312877 "3"
"35" 0.0809418665521355 0.188471189098594 "3"
"36" 0.0753050777924684 0.166880258351498 "3"
"37" 0.0706903222087534 0.145342099129322 "3"
"38" 0.067116181792977 0.123943437997496 "3"
"39" 0.0645970483471228 0.102770439811873 "3"
"40" 0.063143065532465 0.0819083607632691 "3"
"41" 0.0627600880246239 0.061441205080872 "3"
"42" 0.063449657938854 0.0414513867768595 "3"
"43" 0.0652089986204903 0.0220193977942604 "3"
"44" 0.068031025825556 0.00322348389430796 "3"
"45" 0.0719043762465134 -0.0148606704116232 "3"
"46" 0.076813453268292 -0.0321602466168329 "3"
"47" 0.0827384897703534 -0.0486055854337202 "3"
"48" 0.0896556277219084 -0.0641304672871496 "3"
"49" 0.097537014249787 -0.0786723789573073 "3"
"50" 0.106350913792127 -0.0921727652983748 "3"
"51" 0.116061835886284 -0.104577265019434 "3"
"52" 0.126630678076392 -0.115835929578199 "3"
"53" 0.13801488336516 -0.125903424306167 "3"
"54" 0.150168611575874 -0.134739210955329 "3"
"55" 0.163042923934613 -0.142307710931383 "3"
"56" 0.176585980129415 -0.148578448556181 "3"
"57" 0.190743247052922 -0.153526173782526 "3"
"58" 0.205457718387951 -0.157130963867201 "3"
"59" 0.220670144151818 -0.159378303592821 "3"
"60" 0.236319269275103 -0.160259143715498 "3"
"61" 0.252342080254195 -0.159769937402943 "3"
"62" 0.268674058884432 -0.157912654516316 "3"
"63" 0.285249442052141 -0.154694773678284 "3"
"64" 0.302001486539484 -0.150129252159251 "3"
"65" 0.31886273777584 -0.144234473703001 "3"
"66" 0.335765301453553 -0.137034174501854 "3"
"67" 0.352641116914348 -0.12855734761939 "3"
"68" 0.369422231205578 -0.118838126245623 "3"
"69" 0.386041072702783 -0.107915646254686 "3"
"70" 0.402430723196768 -0.0958338886184813 "3"
