"Group.1" "x" "y" "site"
"1" "3" 0.331302758919568 0.182770843953065 NA
"2" "5" 0.0408464653609213 0.622856330302075 NA
"3" "6" 0.0636126847677379 0.335857527085947 NA
"4" "7" -0.519777970422582 0.290389201650181 NA
"5" "10" -0.40415557675647 -0.28674202515136 NA
"6" "11" -0.507108546022757 0.0277891208170943 NA
"7" "13" -0.182275068272917 0.207386497543453 NA
"8" "17" 0.579277581540912 0.124415812813049 NA
"9" "18" -0.0574952288552854 0.23168235449279 NA
"10" "20" 0.315132535979829 -0.183748291451195 NA
"11" "23" 0.442888130535892 -0.338250166177066 NA
"12" "31" -0.122704137336325 -0.580803717094125 NA
